topic_id,words,scores
20,"['cant', 'suck', 'poe', 'mass', 'mod', 'effect', 'crashing', 'yes', 'better', 'launcher']","[0.3852536058646881, -0.2988253880632488, -0.28084436928002904, 0.26591200266313175, -0.265665000696184, 0.2429179392726041, 0.22871456921046482, -0.1821724187868348, -0.16941386972451022, -0.16716576578101036]"
21,"['bug', 'combat', 'story', 'hard', 'mod', 'masterpiece', 'system', 'fuck', 'cant', 'crashing']","[-0.4259439240137414, -0.3502580333723621, 0.31230124104606805, 0.2446333131781925, 0.1917244083362677, -0.1728027932145213, -0.1470904328748118, 0.14105633919027052, 0.13820449885168395, 0.13503576683269364]"
22,"['yes', 'masterpiece', 'poe', 'rpg', 'gate', 'baldurs', 'combat', 'suck', 'story', 'world']","[-0.5255441801840671, -0.46487836917760567, -0.2698774320117406, 0.2541205066901553, 0.21072886594501952, 0.21066405342720743, -0.1628262124205196, 0.1586030001695109, -0.15644394850228827, 0.1378229035058034]"
23,"['yes', 'poe', 'masterpiece', 'crashing', 'gameplay', 'story', 'diablo', 'gate', 'baldurs', 'bug']","[0.739798393572756, -0.3984464524047525, -0.25789694560277654, -0.13052527637981046, -0.10469195560162738, -0.08877494681605311, -0.08390306547116332, 0.0836294931377512, 0.08321965407456205, 0.08253658147854669]"
24,"['fuck', 'crashing', 'suck', 'shit', 'keep', 'ive', 'fucking', 'app', 'launcher', 'yes']","[-0.6911095343264367, 0.3500343019746219, 0.2680150226347483, 0.2013158182221838, 0.17859525538200655, 0.16420143653595942, -0.1611326051231311, -0.13318622118179804, 0.1281676145351156, 0.12146349395346576]"
25,"['ive', 'crashing', 'baldurs', 'gate', 'rpg', 'cant', 'yes', 'year', 'keep', 'work']","[0.47637395985400544, -0.3266436339789285, -0.3198794705147048, -0.3183595641453743, -0.22281772850926065, -0.20103368804311827, -0.19959923777295774, 0.18109452094213213, -0.15168887473566348, 0.12341212563037]"
26,"['ive', 'baldurs', 'gate', 'rpg', 'fuck', 'crashing', 'cant', 'world', 'story', 'mod']","[-0.3497688569499934, -0.34269636280585747, -0.34259332873590687, 0.3108929786987851, -0.2595666518786907, -0.24548799549379788, 0.18463265770135545, 0.17866775097611715, -0.16474968916799182, 0.16361686725891722]"
27,"['cant', 'crashing', 'gate', 'baldurs', 'keep', 'fuck', 'wait', 'better', 'fucking', 'mod']","[-0.5285877275782521, 0.44844930451789056, -0.2737533041026265, -0.2735376604490248, 0.2326261991823954, 0.20637567237962126, -0.15729154097157294, -0.1493918044366421, 0.13699805568875784, -0.1356113665604532]"
28,"['rpg', 'poe', 'ive', 'fuck', 'yes', 'masterpiece', 'year', 'app', 'launch', 'ever']","[-0.5825521899728884, -0.30791684251026047, -0.23447769248893485, -0.2115999016527087, -0.1809704544663906, 0.17688451959628523, -0.16312066136101383, -0.1520626240088466, -0.1280420385111157, 0.1271168504633472]"
29,"['app', 'ive', 'launch', 'work', 'fuck', 'launcher', 'trash', 'mod', 'doesnt', 'cant']","[0.6522913132932483, -0.2697948229738835, 0.2665762403483138, 0.22370851500346192, -0.2227695501657216, -0.22249107300568552, 0.17482017151857368, -0.15251898835177394, 0.1450590915595183, -0.1309055254433159]"
