topic_id,words,scores
25,"['new', 'fallout', 'vega', 'fuck', 'hot', 'better', 'stone', 'soldier', 'lmao', 'pc']","[0.50635976, 0.16051227, 0.07490774, 0.06514208, 0.021545248, 0.013322744, 0.010707907, 0.009580114, 0.009485869, 0.009307273]"
26,"['dragon', 'series', 'hesitation', 'disappointed', 'fair', 'beaten', 'figured', 'compare', 'per', 'share']","[0.3891321, 0.23608276, 0.09855714, 0.02944277, 0.022081317, 0.018363355, 0.015393247, 0.015149641, 0.013751754, 0.012568277]"
27,"['armor', 'spell', 'please', 'annoying', 'worse', 'cast', 'copy', 'hair', 'whenever', 'failed']","[0.16094005, 0.11842438, 0.092934854, 0.07683685, 0.06504595, 0.030413335, 0.025498671, 0.02536793, 0.023804935, 0.02238036]"
28,"['ever', 'amazing', 'ive', 'greatest', 'seen', 'never', 'absolutely', 'incredible', 'favourite', 'easily']","[0.2814918, 0.21588767, 0.21238849, 0.050454292, 0.031217756, 0.026566848, 0.022885913, 0.022003772, 0.017283367, 0.015350061]"
29,"['character', 'story', 'companion', 'choice', 'dialogue', 'combat', 'decision', 'way', 'writing', 'different']","[0.06932473, 0.040585227, 0.033262596, 0.031095842, 0.01742023, 0.014812939, 0.0115506835, 0.010907604, 0.010734597, 0.010413554]"
30,"['mode', 'edition', 'god', 'wrong', 'along', 'boy', 'rolling', 'destroyed', 'hey', 'library']","[0.18006285, 0.1334189, 0.10442853, 0.100083224, 0.05370851, 0.050727304, 0.044639368, 0.025682164, 0.02378554, 0.023406722]"
31,"['screen', 'stuck', 'sometimes', 'infinite', 'freeze', 'dying', 'properly', 'randomly', 'restart', 'horse']","[0.14542459, 0.082458295, 0.07960602, 0.046599027, 0.042937383, 0.040083, 0.035805024, 0.03454425, 0.030379301, 0.028805938]"
32,"['ring', 'elden', 'favorite', 'twice', 'shadow', 'xbox', 'besides', 'time', 'hated', 'sucked']","[0.20187213, 0.20029399, 0.14325327, 0.071929745, 0.047708564, 0.037837364, 0.01932034, 0.015460591, 0.015275788, 0.012548112]"
33,"['option', 'dialogue', 'path', 'npc', 'scene', 'battle', 'tough', 'cut', 'choose', 'interaction']","[0.15620008, 0.098312974, 0.07317846, 0.06602878, 0.061743118, 0.05850999, 0.041668765, 0.040126015, 0.033249058, 0.032844573]"
34,"['class', 'guide', 'honestly', 'excited', 'attempt', 'realize', 'expecting', 'knowing', 'exist', 'perfection']","[0.24243644, 0.09078801, 0.0756817, 0.04701625, 0.030448569, 0.025325801, 0.023908352, 0.022990704, 0.01969141, 0.017970966]"
35,"['right', 'parry', 'figure', 'missing', 'isnt', 'eventually', 'alot', 'fell', 'exactly', 'suggest']","[0.118417375, 0.074973464, 0.062316135, 0.053806588, 0.052625082, 0.045203973, 0.045084704, 0.033148564, 0.031490337, 0.028522477]"
36,"['could', 'make', 'wish', 'used', 'clunky', 'almost', 'rest', 'stick', 'better', 'mage']","[0.21110709, 0.14169683, 0.12219731, 0.082908034, 0.04566419, 0.04473977, 0.040495243, 0.02144988, 0.019983007, 0.017748285]"
37,"['love', 'beat', 'working', 'crazy', 'put', 'cant', 'plenty', 'appreciate', 'exists', 'finally']","[0.7260901, 0.11181316, 0.027040921, 0.024179341, 0.0135917105, 0.012695279, 0.011493733, 0.010289115, 0.010167712, 0.008184368]"
38,"['previous', 'title', 'origin', 'compared', 'lore', 'bloodborne', 'chapter', 'shitty', 'background', 'comparing']","[0.1882482, 0.12398543, 0.1137965, 0.08769826, 0.08223214, 0.030447641, 0.030168913, 0.022803381, 0.019884186, 0.012735684]"
